Facility ID,Owner Name,Facility Name,Street Address,City,Zip,County,Tank Id,Installed,Material,Compartments,Tank Status,Regulated,Closed,Capacity,Substance
2803498,"RAGAZZI, INC.",FAST STOP CONVENIENCE STORE,3214 CUMBERLAND RD,BLUEFIELD,24701,Mercer,9,2011-05-01,Fiberglass Reinforced Plastic,1,Currently In Use,Yes,,4000.0,Diesel
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-6,1987-04-13,Steel,1,Permanently Out of Service,Yes,1993-08-25,2000.0,Diesel
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-5,1987-04-13,Steel,1,Permanently Out of Service,Yes,1993-08-25,2000.0,Gasoline
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-4,1964-03-01,Steel,1,Permanently Out of Service,Yes,1989-12-15,500.0,Used Oil
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-3,1964-03-01,Steel,1,Permanently Out of Service,Yes,1983-04-15,2000.0,Gasoline
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-2,1978-03-01,Steel,1,Permanently Out of Service,Yes,1987-04-15,2000.0,Diesel
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,-1,1978-03-01,Steel,1,Permanently Out of Service,Yes,1987-04-15,2000.0,Gasoline
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,1,1993-10-11,Fiberglass Reinforced Plastic,1,Currently In Use,Yes,,2500.0,Gasoline
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,2,1993-10-11,Fiberglass Reinforced Plastic,1,Currently In Use,Yes,,2500.0,Diesel
2803503,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD SERVICE CENTER,2507 Washington Street,BLUEFIELD,24701,Mercer,3,1990-02-22,Composite,1,Currently In Use,Yes,,1000.0,Used Oil
2803504,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD OFFICE,704 BLAND ST,BLUEFIELD,24701,Mercer,-3,,Steel,1,Permanently Out of Service,Yes,2004-09-01,2000.0,Gasoline
2803504,AMERICAN ELECTRIC POWER SERVICE CORPORATION,BLUEFIELD OFFICE,704 BLAND ST,BLUEFIELD,24701,Mercer,-2,1990-02-23,Polyethylene Tank Jacket,1,Permanently Out of Service,Yes,2004-11-30,2000.0,Gasoline
